Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,01 Communique Laboratory Inc.,ONE,0.14,Technology,Application Software,Software Publishers(511210),1.663183,N/A,-0.01
2,1911 Gold Corporation,AUMB,0.35,Basic Materials,Metals & Mining,,-0.184353,N/A,-0.69
3,48North Cannabis Corp.,NRTH,0.81,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),1.342784,N/A,-0.32
4,48North Cannabis Corp. wt 04apr2024,NRTH.WT,,nan,nan,nan,-10.599136,N/A,N/A
5,49 North Resources Inc.,FNR,0.025,Financial Services,Asset Management,Miscellaneous Intermediation(523910),1.688675,N/A,-0.030000
6,9 Capital Corp.,NCPL.P,0.1,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),2.957103,0.10,1.800000
7,92 Resources Corp.,NTY,0.04,Basic Materials,Metals & Mining,All Other Nonmetallic Mineral Mining(212399),1.929044,N/A,-0.020000
8,A-Labs Capital I Corp.,ALBS.P,0.15,Financial Services,Asset Management,"Trust, Fiduciary, and Custody Activities(523991)",-19.66453,N/A,-0.350000
9,A-Labs Capital II Corp.,ALAB.P,0.145,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),-0.173628,N/A,-1.680000
10,A.I.S. Resources Limited,AIS,0.05,Financial Services,Asset Management,Miscellaneous Intermediation(523910),4.120142,N/A,-0.05
11,Abacus Mining & Exploration Corporation,AME,0.06,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),0.464931,N/A,-0.07
12,Abcourt Mines Inc.,ABI,0.06,Basic Materials,Metals & Mining,Gold Ore Mining(212221),-0.176693,3.80,0.010000
13,Aben Resources Ltd.,ABN,0.245,Basic Materials,Metals & Mining,Gold Ore Mining(212221),1.992477,N/A,-0.040000
14,Abitibi Royalties Inc.,RZZ,12.5,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),1.15284,N/A,0.00
15,Abraplata Resource Corp.,ABRA,0.05,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),62.970688,N/A,-0.05
16,Acasti Pharma Inc.,ACST,1.46,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),0.69746,N/A,-1.25
17,Acceleware Ltd.,AXE,0.17,Technology,Application Software,Other Computer Related Services(541519),1.618019,21.90,0.010000
18,Ackroo Inc.,AKR,0.12,Technology,Application Software,Other Computer Related Services(541519),1.815682,N/A,-0.010000
19,Adamera Minerals Corp.,ADZ,0.03,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),0.689857,N/A,-0.010000
20,Adcore Inc.,ADCO,0.52,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),N/A,N/A,-0.290000
21,Adex Mining Inc,ADE,0.01,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),1.468195,N/A,0.00
22,ADL Ventures Inc.,AVI.P,0.085,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),-8.227774,N/A,-0.010000
23,Advance Gold Corp.,AAX,0.055,Basic Materials,Metals & Mining,Gold Ore Mining(212221),-0.186445,N/A,-0.040000
24,Advanced Proteome Therapeutics Corporation,APC,0.14,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),1.243716,4.70,0.030000
25,Advantage Lithium Corp.,AAL,0.39,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),2.824954,N/A,-0.060000
26,Advent-AWI Holdings Inc.,AWI,1.06,Consumer Cyclical,Retail - Apparel & Specialty,Telecommunications Resellers(517911),-0.006899,6.50,0.160000
